客户名称	产品名称	分类		1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月
LD公司	50KA	预测数据	预测的期初库存数量												
			订货量												
			收货数量												
			预测交货数量	82.5	60	52.5	65	65	65	60	52.5	72.5	62.5	60	72.5
			其他客户交货												
			期末库存余额												
		实际数据	期初库存余额	705.977	495.977	658.467	611.017	463.412	731.062	785.912	1191.905				
			订货量	371.2	0	162.4	348	951.2	0	0					
			收货数量	5	282.6	80.1	157.55	400.2	282.55	611.093					
			交货数量	175	102.5	127.5	305	132.5	225	205					
			其他客户交货	40	17.5	0	0	0	2.5	0					
			期末库存余额	495.977	658.467	611.017	463.412	731.062	785.912	1191.905					
			其他出库数量	0	0.11	0.05	0.155	0.05	0.2	0.1					
B公司	10LL	预测数据	起初库存数量												
			订货量												
			收货数量												
			交货数量												
			其他客户交货												
			期末库存余额												
		实际数据	期初库存余额	881.61	762.141	853.789	826.563	1110.915	1138.085	875.986	833.824				
			订货量	189.15	0	218.4	292.5	635.7	146.25	0					
			收货数量	70.171	92.253	92.891	284.922	211.057	576.097	179.491					
			交货数量	189.511	0	119.967	0	85.395	776.95	0					
			其他客户交货	0	0	0	0.1	96	60.2	220.305					
			期末库存余额	762.141	853.789	826.563	1110.915	1138.085	875.986	833.824					
			其他出库数量	0.129	0.605	0.15	0.47	2.492	1.046	1.348					
